"";"Lp";"kod";"Pytanie";"Minimum";"Maksimum";"Min";"Max";"n";"Œrednia";"SD"
"metryczka.plec";1;"metryczka.plec";"P³eæ";"Mê¿czyzna";"Kobieta";0;1;195;0,646;0,479
"metryczka.wiek";2;"metryczka.wiek";"Wiek";"18";"30";18;30;195;23,169;2,459
"metryczka.miejsce";3;"metryczka.miejsce";"Miejsce zamieszkania";"Wieœ";"Miasto pow. 500 tys. Mieszkañców";0;1;195;0,694;0,446
"metryczka.wyksztalcenie";4;"metryczka.wyksztalcenie";"Wykszta³cenie";"Ukoñczona szko³a podstawowa";"Ukoñczone studia magisterskie";0,25;1;195;0,694;0,2
"metryczka.nauka";5;"metryczka.nauka";"Uczê siê/studiujê";"Nie uczê siê/nie studiujê";"Uczê siê/studiujê";0;1;195;0,759;0,429
"metryczka.praca";6;"metryczka.praca";"Wymiar czasu pracy";"Nie pracujê/Emeryt-rencista";"Pracujê na ca³ym etacie";0;1;195;0,356;0,369
"metryczka.osoby";7;"metryczka.osoby";"Liczba osób w gospodarstwie domowym";"1";"15";1;9;195;3,354;1,551
"metryczka.dzieci";8;"metryczka.dzieci";"Liczba dzieci w gospodarstwie domowym";"0";"10";0;6;195;0,785;1,246
"metryczka.zakupy";9;"metryczka.zakupy";"Zakupy";"Nie dokonujê";"Samodzielnie przygotowujê";0;1;195;0,795;0,281
"metryczka.przygotowanie";10;"metryczka.przygotowanie";"Posi³ki";"Nie przygotowujê";"Samodzielnie przygotowujê";0;1;195;0,754;0,306
"metryczka.sytuacja";11;"metryczka.sytuacja";"Jak ocenia Pan Pani sytuacjê finansow¹ swojego gospodarstwa domowego ";"Pieniêdzy nie wystarcza";"Wystarcza na wszystko";0;1;191;0,937;0,181
"metryczka.wiedza";12;"metryczka.wiedza";"Jak ocenia Pan Pani swoj¹ wiedzê ¿ywieniow¹";"Bardzo niska";"Bardzo wysoka";1;5;195;3,595;0,834
"metryczka.dieta";13;"metryczka.dieta";"Dieta";"Nie";"Tak";0;1;195;0,19;0,393
"fcq.dieta_kalorie";14;"fcq.dieta_kalorie";"Wa¿ne, by ¿ywnoœæ zawiera³a ma³o kalorii";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;3,267;1,527
"fcq.cena_wartosc";15;"fcq.cena_wartosc";"Wa¿ne, by ¿ywnoœæ by³a warta pieniêdzy, które za ni¹ p³acê";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;5,949;1,192
"fcq.eko_opakowana";16;"fcq.eko_opakowana";"Wa¿ne, by ¿ywnoœæ by³a opakowana w sposób przyjazny dla œrodowiska";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;4,964;1,364
"fcq.eko_produkowana";17;"fcq.eko_produkowana";"Wa¿ne, by ¿ywnoœæ pochodzi³a z produkcji ekologicznej";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;4,282;1,47
"fcq.dieta_tluszcz";18;"fcq.dieta_tluszcz";"Wa¿ne, by ¿ywnoœæ zawiera³a ma³o t³uszczu";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;3,862;1,417
"fcq.pol_pochodzenie";19;"fcq.pol_pochodzenie";"Wa¿ne, by ¿ywnoœæ by³a polskiego pochodzenia";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;4,697;1,538
"fcq.eko_bezgmo";20;"fcq.eko_bezgmo";"Wa¿ne, by ¿ywnoœæ nie zawiera³a genetycznie modyfikowanych sk³adników";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;4,769;1,919
"fcq.dieta_wit.i.min";21;"fcq.dieta_wit.i.min";"Wa¿ne, by ¿ywnoœæ zawiera³a du¿o witamin i sk³adników mineralnych";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";2;7;195;5,99;1,025
"fcq.dieta_bezdodatkow";22;"fcq.dieta_bezdodatkow";"Wa¿ne, by ¿ywnoœæ nie zawiera³a sztucznych dodatków";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;5,662;1,365
"fcq.dieta_odzywcza";23;"fcq.dieta_odzywcza";"Wa¿ne, by ¿ywnoœæ charakteryzowa³a siê odpowiedni¹ wartoœci¹ od¿ywcz¹";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";3;7;195;6;1,04
"fcq.dieta_bialko";24;"fcq.dieta_bialko";"Wa¿ne, by ¿ywnoœæ zawiera³a du¿o bia³ka";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;4,636;1,204
"fcq.dieta_naturalna";25;"fcq.dieta_naturalna";"Wa¿ne, by ¿ywnoœæ zawiera³a naturalne sk³adniki";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;5,964;1,027
"fcq.hed_zdziecinstwa";26;"fcq.hed_zdziecinstwa";"Wa¿ne, by ¿ywnoœæ przypomina³a tê, któr¹ jad³em am, w dzieciñstwie";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;3,779;1,579
"fcq.hed_odprezajaca";27;"fcq.hed_odprezajaca";"Wa¿ne, by ¿ywnoœæ pomaga³a odprê¿yæ siê";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;4,374;1,605
"fcq.hed_wygodna";28;"fcq.hed_wygodna";"Wa¿ne, by ¿ywnoœæ by³a ma³o czasoch³onna";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;4,379;1,602
"frl.nowe_zawartosc";29;"frl.nowe_zawartosc";"Informacja na opakowaniu produktu jest dla mnie bardzo wa¿na,  muszê wiedzieæ, co ten produkt zawiera";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;5,662;1,526
"frl.dieta_odzywcza";30;"frl.dieta_odzywcza";"Porównujê etykiety, ¿eby wybraæ produkty o najwy¿szej wartoœci od¿ywczej";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;4,754;2,041
"frl.cena_info";31;"frl.cena_info";"Zawsze sprawdzam ceny nawet najdrobniejszych produktów";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;4,672;1,893
"frl.nowe_etykiety";32;"frl.nowe_etykiety";"Porównujê informacje na etykietach produktów zanim zdecydujê, który produkt wybraæ";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;5,103;1,779
"frl.dieta_naturalna";33;"frl.dieta_naturalna";"Wolê kupowaæ produkty naturalne, np, bez konserwantów";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;5,518;1,367
"frl.dieta_bezdodatkow";34;"frl.dieta_bezdodatkow";"Staram siê unikaæ ¿ywnoœci zawieraj¹cej substancje dodatkowe";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;5,062;1,445
"frl.dieta_wartosc";35;"frl.dieta_wartosc";"Wa¿niejsze jest wybieranie ¿ywnoœci ze wzglêdu na wartoœæ od¿ywcz¹ ni¿ jej smak";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;3,928;1,525
"fns.nowe_ufnosc";36;"fns.nowe_ufnosc";"Nie ufam nowym produktom ¿ywnoœciowym";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;3,262;1,392
"fns.nowe_przyjecia";37;"fns.nowe_przyjecia";"Na przyjêciach próbujê nowych potraw i produktów";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;5,636;1,409
"cet.pol_bezrobocie";38;"cet.pol_bezrobocie";"Kupowanie zagranicznych produktów pozbawia Polaków miejsc pracy";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;3,631;1,624
"cet.pol_niedostepne";39;"cet.pol_niedostepne";"Z zagranicy nale¿y sprowadzaæ jedynie te produkty, które nie s¹ dostêpne w Polsce";"Ca³kowicie siê nie zgadzam";"Ca³kowicie siê zgadzam";1;7;195;4,308;1,778
