Pytanie;Minimum;Maksimum
P³eæ;Mê¿czyzna;Kobieta
Wiek;18;30
Miejsce zamieszkania;Wieœ;Miasto pow. 500 tys. Mieszkañców
Wykszta³cenie;Ukoñczona szko³a podstawowa;Ukoñczone studia magisterskie
Uczê siê/studiujê;Nie uczê siê/nie studiujê;Uczê siê/studiujê
Wymiar czasu pracy;Nie pracujê/Emeryt-rencista;Pracujê na ca³ym etacie
Liczba osób w gospodarstwie domowym;1;15
Liczba dzieci w gospodarstwie domowym;0;10
Zakupy;Nie dokonujê;Samodzielnie przygotowujê
Posi³ki;Nie przygotowujê;Samodzielnie przygotowujê
Jak ocenia Pan Pani sytuacjê finansow¹ swojego gospodarstwa domowego ;Pieniêdzy nie wystarcza;Wystarcza na wszystko
Jak ocenia Pan Pani swoj¹ wiedzê ¿ywieniow¹;Bardzo niska;Bardzo wysoka
Dieta;Nie;Tak
Wa¿ne, by ¿ywnoœæ zawiera³a ma³o kalorii;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Wa¿ne, by ¿ywnoœæ by³a warta pieniêdzy, które za ni¹ p³acê;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Wa¿ne, by ¿ywnoœæ by³a opakowana w sposób przyjazny dla œrodowiska;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Wa¿ne, by ¿ywnoœæ pochodzi³a z produkcji ekologicznej;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Wa¿ne, by ¿ywnoœæ zawiera³a ma³o t³uszczu;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Wa¿ne, by ¿ywnoœæ by³a polskiego pochodzenia;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Wa¿ne, by ¿ywnoœæ nie zawiera³a genetycznie modyfikowanych sk³adników;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Wa¿ne, by ¿ywnoœæ zawiera³a du¿o witamin i sk³adników mineralnych;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Wa¿ne, by ¿ywnoœæ nie zawiera³a sztucznych dodatków;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Wa¿ne, by ¿ywnoœæ charakteryzowa³a siê odpowiedni¹ wartoœci¹ od¿ywcz¹;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Wa¿ne, by ¿ywnoœæ zawiera³a du¿o bia³ka;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Wa¿ne, by ¿ywnoœæ zawiera³a naturalne sk³adniki;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Wa¿ne, by ¿ywnoœæ przypomina³a tê, któr¹ jad³em am, w dzieciñstwie;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Wa¿ne, by ¿ywnoœæ pomaga³a odprê¿yæ siê;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
Wa¿ne, by ¿ywnoœæ by³a ma³o czasoch³onna;Ca³kowicie siê nie zgadzam;Ca³kowicie siê zgadzam
