"Nr_A","Zmienna_A","Srednia_A","SD_A","Nr_B","Zmienna_B","Œrednia_B","SD_B","X","df","p","r"
"2","2","metryczka.wiek","4","metryczka.wyksztalcenie","350.475568663278","36","3.3870949701034e-53","0.78479516332876","2","metryczka.wiek","4","metryczka.wyksztalcenie"
"3","5","metryczka.nauka","6","metryczka.praca","77.2187090889667","2","1.70675180761846e-17","-0.577496985994199","5","metryczka.nauka","6","metryczka.praca"
"4","9","metryczka.zakupy","10","metryczka.przygotowanie","80.2209162403835","4","1.5638737436937e-16","0.503910157754045","9","metryczka.zakupy","10","metryczka.przygotowanie"
"5","29","frl.nowe_zawartosc","30","frl.dieta_odzywcza","96.3658154025262","4","5.8377200447185e-20","0.6383938886956","29","frl.nowe_zawartosc","30","frl.dieta_odzywcza"
"6","29","frl.nowe_zawartosc","32","frl.nowe_etykiety","63.2646481057775","4","5.96903628767981e-13","0.534122061990915","29","frl.nowe_zawartosc","32","frl.nowe_etykiety"
"7","30","frl.dieta_odzywcza","32","frl.nowe_etykiety","85.2517736347137","4","1.34139547595631e-17","0.580568781138467","30","frl.dieta_odzywcza","32","frl.nowe_etykiety"
"8","33","frl.dieta_naturalna","34","frl.dieta_bezdodatkow","170.149811652794","4","9.71212822068989e-36","0.662779880521579","33","frl.dieta_naturalna","34","frl.dieta_bezdodatkow"
"9","39","cet.pol_niedostepne","40","cet.pol_nieprodukowane","251.145974342041","4","3.68710601707279e-53","0.840979419313721","39","cet.pol_niedostepne","40","cet.pol_nieprodukowane"
"10","52","ziemniak.cena","86","jablko.cena","121.931160751194","16","2.33406769266924e-18","0.616532067116488","52","ziemniak.cena","86","jablko.cena"
"11","53","ziemniak.miejsce","70","pomidor.miejsce","102.682773742321","16","1.08580242528611e-14","0.551556585231652","53","ziemniak.miejsce","70","pomidor.miejsce"
"12","53","ziemniak.miejsce","87","jablko.miejsce","122.343577172605","16","1.9437535936774e-18","0.594131480797718","53","ziemniak.miejsce","87","jablko.miejsce"
"13","54","ziemniak.swiezosc","71","pomidor.swiezosc","79.517706836934","6","4.49391255120264e-15","0.536300275331736","54","ziemniak.swiezosc","71","pomidor.swiezosc"
"14","56","ziemniak.kraj","73","pomidor.kraj","139.616573142705","16","8.56466813123618e-22","0.669196540038113","56","ziemniak.kraj","73","pomidor.kraj"
"15","56","ziemniak.kraj","90","jablko.kraj","160.191917147041","16","7.52966686748215e-26","0.658808353467316","56","ziemniak.kraj","90","jablko.kraj"
"16","56","ziemniak.kraj","153","pieczywo.kraj","90.1700509545757","16","2.32767899074976e-12","0.556817683602051","56","ziemniak.kraj","153","pieczywo.kraj"
"17","66","ziemniak.smak","67","ziemniak.jakosc","123.485988355187","4","9.61443067826157e-26","0.625558767118179","66","ziemniak.smak","67","ziemniak.jakosc"
"18","69","pomidor.cena","86","jablko.cena","89.3492075872032","16","3.29653654253672e-12","0.553412270689149","69","pomidor.cena","86","jablko.cena"
"19","69","pomidor.cena","103","pomarancza.cena","128.911420057147","16","1.04395583733898e-19","0.640092526627035","69","pomidor.cena","103","pomarancza.cena"
"20","70","pomidor.miejsce","87","jablko.miejsce","153.991965656404","16","1.27264983717685e-24","0.65068006903081","70","pomidor.miejsce","87","jablko.miejsce"
"21","71","pomidor.swiezosc","105","pomarancza.swiezosc","72.5283173897282","6","1.23748879220967e-13","0.511072971848202","71","pomidor.swiezosc","105","pomarancza.swiezosc"
"22","73","pomidor.kraj","90","jablko.kraj","184.448079754641","16","1.07884915750424e-30","0.692892466754366","73","pomidor.kraj","90","jablko.kraj"
