"Nr_A","Zmienna_A","Srednia_A","SD_A","Nr_B","Zmienna_B","Œrednia_B","SD_B","X","df","p","r"
"3","1","metryczka.plec","0.646","0.479","59","ziemniak.spozycie","0.125","0.133","21.826","10","0.016","-0.26"
"4","1","metryczka.plec","0.646","0.479","63","ziemniak.obrobka","0.19","0.344","11.061","2","0.004","-0.231"
"6","1","metryczka.plec","0.646","0.479","146","platki.zdrowotnosc","0.687","0.383","18.337","2","0","0.307"
"11","1","metryczka.plec","0.646","0.479","158","pieczywo.spozycie","0.187","0.17","19.463","10","0.035","-0.296"
"12","4","metryczka.wyksztalcenie","0.694","0.2","147","platki.smak","0.879","0.253","15.969","6","0.014","-0.224"
"15","6","metryczka.praca","0.356","0.369","158","pieczywo.spozycie","0.187","0.17","34.192","20","0.025","-0.263"
"23","12","metryczka.wiedza","0.733","0.31","82","pomidor.zdrowotnosc","0.967","0.125","23.52","2","0","0.268"
"25","12","metryczka.wiedza","0.733","0.31","102","jablko.produkty","0.431","0.268","28.917","8","0","-0.293"
"37","18","fcq.dieta_tluszcz","0.464","0.271","133","makaron.smak","0.918","0.205","11.059","4","0.026","0.225"
"38","18","fcq.dieta_tluszcz","0.464","0.271","134","makaron.jakosc","0.892","0.224","11.312","4","0.023","0.212"
"50","21","fcq.dieta_wit.i.min","0.854","0.239","95","jablko.okres","0.154","0.362","9.14","2","0.01","-0.216"
"55","22","fcq.dieta_bezdodatkow","0.79","0.295","65","ziemniak.zdrowotnosc","0.736","0.302","18.321","4","0.001","0.227"
"69","23","fcq.dieta_odzywcza","0.864","0.223","145","platki.potrawy","0.295","0.398","16.993","2","0","0.294"
"73","24","fcq.dieta_bialko","0.582","0.24","148","platki.jakosc","0.859","0.253","11.127","4","0.025","0.213"
"74","25","fcq.dieta_naturalna","0.849","0.241","82","pomidor.zdrowotnosc","0.967","0.125","34.396","2","0","0.302"
"76","25","fcq.dieta_naturalna","0.849","0.241","98","jablko.potrawy","0.71","0.405","21.457","4","0","0.222"
"88","27","fcq.hed_odprezajaca","0.549","0.307","115","pomarancza.potrawy","0.351","0.391","13.294","4","0.01","0.243"
"89","27","fcq.hed_odprezajaca","0.549","0.307","145","platki.potrawy","0.295","0.398","10.85","4","0.028","0.209"
"91","27","fcq.hed_odprezajaca","0.549","0.307","161","pieczywo.potrawy","0.456","0.402","14.967","4","0.005","0.236"
"92","28","fcq.hed_wygodna","0.559","0.314","161","pieczywo.potrawy","0.456","0.402","12.639","4","0.013","0.225"
"104","30","frl.dieta_odzywcza","0.638","0.368","102","jablko.produkty","0.431","0.268","17.811","8","0.023","-0.203"
"106","30","frl.dieta_odzywcza","0.638","0.368","145","platki.potrawy","0.295","0.398","17.405","4","0.002","0.248"
"115","31","frl.cena_info","0.6","0.361","161","pieczywo.potrawy","0.456","0.402","11.996","4","0.017","0.216"
"117","32","frl.nowe_etykiety","0.692","0.333","59","ziemniak.spozycie","0.125","0.133","36.291","20","0.014","-0.202"
"121","32","frl.nowe_etykiety","0.692","0.333","98","jablko.potrawy","0.71","0.405","14.063","4","0.007","0.205"
"149","35","frl.dieta_wartosc","0.505","0.287","145","platki.potrawy","0.295","0.398","17.167","4","0.002","0.257"
"164","41","mgr.nowe_marki","0.692","0.301","67","ziemniak.jakosc","0.962","0.143","20.263","4","0","0.203"
"175","45","mgr.pol_swieza","0.556","0.282","101","jablko.jakosc","0.99","0.071","17.627","2","0","0.222"
"176","46","mgr.pol_tania","0.503","0.241","66","ziemniak.smak","0.931","0.201","10.986","4","0.027","0.217"
"180","47","mgr.pol_smaczna","0.554","0.28","78","pomidor.okres","0.292","0.456","9.39","2","0.009","0.219"
"189","48","mgr.nowe_sklad","0.5","0.317","119","pomarancza.produkty","0.521","0.268","15.289","4","0.004","-0.228"
"195","49","mgr.hed_wrazenie","0.346","0.312","133","makaron.smak","0.918","0.205","11.443","4","0.022","-0.238"
